"Discid","Artist","Album","Pret","An","Casa de discuri","COD","Stare disc","Stare coperta",Gen,Poza,Stoc
"125","Dario Domingues","The end of the Yahgan's Journey","20","1981","Trikont","LC 4270","VG+","VG+",,,
"803","Dave Dee, Dozy, Beaky, Mick & Tich","20 Greatest Hits","25","1980","Philips","34 953 0","NM","VG+",,,
"126","Dave Edmunds","Information","30","1983","Arista","205 348","NM","VG+",,,
"127","David Sanborn","A Change Of Heart","30","1987","WB","925 479-1","VG+","VG+",,,
"128","Dennis Edwards","Don't Look Any Further","15","1984","Gord-Y","ZL72148","VG","G",,,
"129","Diana Ross","Ross","35","1983","Capitol","1C 038-15 7653 1","NM","NM",,,
"130","Diana Ross","Theme From Mahogany","35","1976","Tamla Motown","TSM ST60127","VG","VG+",,,
"131","Digby Richards","Rock'n'Roll (I Gave You All The Best Years…)","30","1982","Starcall","SFL1 0107","VG+","VG+",,,
"132","Dollar","6 Song Album -Extra Price","30","1982","WEA","24.0078-1","NM","VG+",,,
"133","Don Fardon","Indian Reservation","20","1976","Intercord","125.405","VG+","VG+",,,
"135","Don Johnson","Heart Beat (Gatefold Cover)","25","1986","Epic","EPC450103 1","VG+","VG+",,,
"136","Donna Hightower","Gold","25","1976","Metronome","MLP 15.569","NM","NM",,,
"137","Donna Hightower","Here I Am","25","1974","Metronome","MLP 15.490","VG+","VG+",,,
"138","Donna Summer","Love To Love You Baby","25","1975","Oasis","OCLP 5003","VG","VG",,,
"139","Donovan","Top Artists of PopMusic","25","1981","Memory","MEM54279","VG+","VG+",,,
"140","Donovan","Catch The Wind","25","1965","Hallmark","HMA 200","VG+","VG+",,,
"141","Donovan","Colours","25","1965","Hallmark","HMA 241","VG+","VG+",,,
"142","Donovan","Donovan's Greatest Hits (Gate Fold)","25","1969","Epic","BXN 26 439","VG+","VG",,,
"143","Donovan","Golden Hour Of Donovan","25","1965","Golden Hour","GH 506","VG+","VG+",,,
"144","Donovan","Sunshine Superman (The Best Of)","30","1982","CBS","CL 32 033-3","VG+","VG+",,,
"145","Dottie West","Country and West","25","1970","RCA-Victor","LSP 4332","VG+","VG+",,,
"146","Dr. Hook","Makin' Love and Music","35","1977","Capitol","1C 038-85 156","NM","NM",,,
"147","Dr. Hook And The Medicine Show","Sylvia's Mother","30","1978","CBS","S31458","VG+","VG+",,,
"745","Dr. Hook And The Medicine Show","Sylvia's Mother","35","1972","Embassy","EMB31201","NM","NM",,,
"149","Dschinghis Khan","Dschinghis Khan -Gatefold+MaxiPoster","60","1979","Jupiter","200 690","NM","NM",,,
"150","Duane Eddy","Movin'N'Groovin'","20","1970","London","ATZ 3300","VG+","VG+",,,
"151","Dusty Springfield","Dusty Springfield (Motive Series)","25","1981","Philips","6381 044","NM","NM",,,
"152","Dutch Swing College Band","D.S.C. in Concert! (2LP)","25",,"Philips","6678 014","NM","VG+",,,
"744","Earth Wind & Fire","All 'N All (Gatefold)","30","1977","CBS","CBS82238","VG+","VG",,,
"153","Ed Welch","Clowns","25","1978","UA","UAS29248","VG+","VG+",,,
"154","Eddie Brickell & The New Bohemians","Circle","25","1988","Geffen","921 207-0","VG+","VG+",,,
"779","Eddie Cochran","Remember Me…","25","1964","Liberty","LBY 1133 F","VG","VG+",,,
"155","Eddy Grant","File Under Rock","35","1988","Parlophone","064-790341","VG+","VG+",,,
"156","Eddy Grant","Love In Exile","35","1980","ICE","INT136 101","VG+","VG+",,,
"755","Eddy Grant","Can't Get Enough","30","1981","Ice Records","INT 146.102","NM","VG+",,,
"158","Edwin Hakin Singers","Oh Happy Day - The Golden Songs","25","1974","Buddah","38 805 8","VG+","VG+",,,
"160","Ekseption","Ekseptional (The Best Of  Ekseption)","20","1973","Philips","6410 044","NM","VG+",,,
"161","Ekseption","With Love From (2LP)","35","1975","Philips","6677 025","VG+","VG+",,,
"753","Elephant","Welcome To The China Shop","35","1981","Vertigo","6435118","NM","NM",,,
"162","Elton John","A Single Man (Gatefold)","35","1978","MCA Records","MCA-3065","VG+","VG+",,,
"163","Elton John","Too Low For Zero","35","1983","Rocket Rec","811 052-1","VG+","VG+",,,
"164","Elton Motello","Pop Art","20","1980","Edge RKM","HOG1","VG","VG+",,,
"168","Elvis Presley","Forever -32Hits and the Story of a King (2LP)","10",,"RCA","PJL2-8024","G","G",,,
"804","Elvis Presley","Elvis' Love Songs","25","1979","K-Tel","TG1237","VG+","VG",,,
"170","Elvis Presley","Seine 40 Grossten Hits (2LP)","20",,"Arcade","ADE P 12","VG","VG",,,
"172","Engelbert","Portrait in Gold (2LP Box)","40","1974","Decca","SD 3029","VG+","VG+",,,
"173","Eric Bourdon Band","Comeback (Soundtrack)","30","1982","Squire","A120 190","VG+","VG+",,,
"174","Eric Carmen","The Best Of Eric Carmen","30","1987","Arista","208 916","VG+","VG+",,,
"176","Esther & Abi Ofarim","Das neue Album","20","1966","Philips","843 920PY","VG","VG",,,
"177","Esther & Abi Ofarim","Esther & Abi Ofarim (2LP)","30","1972","Philips","9299 360","NM","NM",,,
"178","Esther & Abi Ofarim","Die Ofarim-Story (2LP)","25","1972","Philips","6610 010","NM","VG+",,,
"179","Esther Philips","What A Difference A Day Makes","25","1975","CTI Records","KU23","VG+","VG+",,,
"180","Exile","All There Is","35","1979","RAK","1C 064-62 635","VG+","VG+",,,
"181","Exile","Mixed Emotions","30","1978","RAK","1C 064-61 797","NM","NM",,,
